,Date,Over_rate
162,2016-06-11,0.6896551724137931
163,2016-06-12,0.625
164,2016-06-13,0.6122448979591837
165,2016-06-14,0.7346938775510204
166,2016-06-15,0.6388888888888888
167,2016-06-16,0.625
168,2016-06-17,0.7045454545454546
169,2016-06-18,0.6785714285714286
170,2016-06-19,0.8285714285714286
171,2016-06-20,0.6190476190476191
172,2016-06-21,0.5806451612903226
173,2016-06-22,0.4722222222222222
174,2016-06-23,0.7027027027027027
175,2016-06-24,0.6590909090909091
176,2016-06-25,0.631578947368421
177,2016-06-26,0.7435897435897436
178,2016-06-27,0.6818181818181818
179,2016-06-28,0.7446808510638298
180,2016-06-29,0.6923076923076923
181,2016-06-30,0.7878787878787878
182,2016-07-01,0.5675675675675675
183,2016-07-02,0.7045454545454546
184,2016-07-03,0.7307692307692307
