,Place_id,Name,Business_Status,Lat,Lon
0,ChIJUQCr_V1mr2sRmFJYLdeFeLw,Dirranbandi Ambulance Station,OPERATIONAL,-28.5799428,148.2289988
1,ChIJc9cX5zzPpWsRGlDIj1zSIT0,NSW Ambulance,OPERATIONAL,-28.97813289999999,148.9968617
2,ChIJ5ZZ7DtGaomsR5Wwtsz2gf70,Texas Ambulance Station,OPERATIONAL,-28.8558845,151.1787654
3,ChIJrR0SqXwvmGsRSBdde5E8rOQ,Stanthorpe Ambulance Station,OPERATIONAL,-28.6598973,151.929207
4,ChIJwf1hnGJNmGsRz73qKUugrAY,NSW Ambulance,OPERATIONAL,-29.0550891,152.0201
5,ChIJaRG6AB-ekGsRc-WUTM6a2Xk,NSW Ambulance,OPERATIONAL,-28.8124854,153.2765572
6,ChIJFZaUM5xOmmsRbpcqJRE39pU,Yamba Ambulance Station,OPERATIONAL,-29.42656169999999,153.328011
7,ChIJS2nu6xCAkGsRuOB723MFRhE,NSW Ambulance,OPERATIONAL,-28.8642739,153.5644826
8,ChIJ-eQyjJkWo2sRqXri9KgaURQ,Goondiwindi Ambulance Station,OPERATIONAL,-28.547645,150.3135629
9,ChIJHw3x-tezomsR5k_Ifbxll2s,Inglewood Ambulance Station,OPERATIONAL,-28.4137221,151.0826509
10,ChIJQSvRxyhFl2sRM9oJ0Glbq9I,Urbenville Ambulance Station,OPERATIONAL,-28.4735668,152.547849
11,ChIJscRr-wbwkGsRD0mPZUhqFlk,NSW Ambulance,OPERATIONAL,-28.3255298,153.4000935
12,ChIJCakzhyL3kGsRHwyFfTzK494,Future Pottsville Ambulancd Station,OPERATIONAL,-28.3890516,153.5580934
13,ChIJj4fyxWC6rGsRXbR38wS_ups,Cunnamulla Ambulance Station,OPERATIONAL,-28.0714658,145.689363
14,ChIJtSTuRpmfl2sRIb9FNUs4axk,QLD Ambulance Service,OPERATIONAL,-28.2182802,152.0340153
